game_id,home_team,away_team,period,clock,time_remaining_sec,score_diff,shot_x,shot_y,shot_distance_ft,home_win
S2223-G0827,HOU,SAC,1,08:22,2662,3,-179,195,26,0
S2223-G0827,HOU,SAC,1,01:57,2277,6,-234,76,25,0
S2223-G0827,HOU,SAC,2,03:48,1668,-4,-167,215,27,0
S2223-G0827,HOU,SAC,2,00:53.3,1493,4,-138,228,27,0
S2223-G0827,HOU,SAC,3,07:12,1152,4,-28,33,4,0
S2223-G0827,HOU,SAC,4,08:06,486,5,22,17,3,0
S2223-G0827,HOU,SAC,4,03:32,212,-5,-173,200,26,0
S2223-G0827,HOU,SAC,4,00:42.9,43,1,-7,121,12,0
S2223-G0124,BOS,CHI,1,06:22,2542,1,233,73,24,1
S2223-G0124,BOS,CHI,1,01:37,2257,-8,129,147,20,1
S2223-G0124,BOS,CHI,2,08:19,1939,0,-228,94,25,1
S2223-G0124,BOS,CHI,2,00:34.7,1475,4,221,90,24,1
S2223-G0124,BOS,CHI,3,05:42,1062,9,16,5,2,1
S2223-G0124,BOS,CHI,4,10:21,621,11,-233,52,24,1
S2223-G0124,BOS,CHI,4,03:13,193,7,-99,56,11,1
S2223-G0124,BOS,CHI,4,00:02.8,3,3,13,57,6,1
