game_id,team,distance_ft,made
S2223-G0827,SAC,5,1
S2223-G0827,HOU,9,0
S2223-G0827,HOU,3,1
S2223-G0827,HOU,2,1
S2223-G0827,SAC,9,1
S2223-G0827,HOU,8,0
S2223-G0827,SAC,4,0
S2223-G0827,SAC,0,0
S2223-G0827,SAC,0,1
S2223-G0827,SAC,5,0
S2223-G0827,HOU,2,1
S2223-G0827,HOU,4,0
S2223-G0827,HOU,3,1
S2223-G0827,SAC,26,0
S2223-G0827,HOU,2,0
S2223-G0827,SAC,26,0
S2223-G0827,HOU,26,1
S2223-G0827,SAC,7,1
S2223-G0827,HOU,12,1
S2223-G0827,SAC,25,0
S2223-G0827,HOU,2,1
S2223-G0827,SAC,0,1
S2223-G0827,HOU,6,0
S2223-G0827,SAC,26,0
S2223-G0827,HOU,4,1
S2223-G0827,SAC,18,1
S2223-G0827,HOU,17,1
S2223-G0827,HOU,3,1
S2223-G0827,SAC,26,1
S2223-G0827,SAC,27,1
S2223-G0827,HOU,16,1
S2223-G0827,SAC,4,0
S2223-G0827,HOU,4,1
S2223-G0827,SAC,3,1
S2223-G0827,HOU,8,0
S2223-G0827,HOU,7,0
S2223-G0827,HOU,26,1
S2223-G0827,SAC,25,0
S2223-G0827,HOU,25,1
S2223-G0827,SAC,13,0
S2223-G0827,HOU,4,1
S2223-G0827,SAC,26,0
S2223-G0827,HOU,4,0
S2223-G0827,SAC,1,1
S2223-G0827,HOU,11,0
S2223-G0827,HOU,7,0
S2223-G0827,SAC,13,0
S2223-G0827,HOU,3,0
S2223-G0827,SAC,4,0
S2223-G0827,SAC,19,1
S2223-G0827,HOU,3,0
S2223-G0827,HOU,29,0
S2223-G0827,SAC,5,0
S2223-G0827,SAC,2,1
S2223-G0827,HOU,7,0
S2223-G0827,HOU,0,0
S2223-G0827,HOU,0,1
S2223-G0827,HOU,4,0
S2223-G0827,HOU,2,0
S2223-G0827,SAC,0,0
S2223-G0827,HOU,6,0
S2223-G0827,HOU,4,1
S2223-G0827,SAC,26,0
S2223-G0827,SAC,8,0
S2223-G0827,HOU,27,0
S2223-G0827,HOU,6,0
S2223-G0827,SAC,0,0
S2223-G0827,HOU,8,1
S2223-G0827,SAC,6,1
S2223-G0827,HOU,5,1
S2223-G0827,SAC,2,1
S2223-G0827,HOU,9,0
S2223-G0827,SAC,4,0
S2223-G0827,HOU,4,1
S2223-G0827,SAC,12,1
S2223-G0827,SAC,11,1
S2223-G0827,HOU,27,0
S2223-G0827,SAC,3,1
S2223-G0827,HOU,4,0
S2223-G0827,SAC,8,1
S2223-G0827,HOU,27,0
S2223-G0827,SAC,27,1
S2223-G0827,HOU,4,1
S2223-G0827,SAC,24,0
S2223-G0827,HOU,27,1
S2223-G0827,SAC,4,1
S2223-G0827,HOU,4,0
S2223-G0827,SAC,24,0
S2223-G0827,SAC,6,0
S2223-G0827,SAC,26,0
S2223-G0827,SAC,26,0
S2223-G0827,HOU,4,1
S2223-G0827,SAC,24,0
S2223-G0827,HOU,27,1
S2223-G0827,SAC,4,1
S2223-G0827,HOU,4,0
S2223-G0827,SAC,5,1
S2223-G0827,HOU,26,1
S2223-G0827,SAC,10,0
S2223-G0827,SAC,28,0
S2223-G0827,HOU,2,1
S2223-G0827,HOU,1,1
S2223-G0827,SAC,4,1
S2223-G0827,SAC,27,1
S2223-G0827,SAC,7,1
S2223-G0827,HOU,3,1
S2223-G0827,SAC,4,1
S2223-G0827,HOU,3,1
S2223-G0827,SAC,4,1
S2223-G0827,HOU,2,1
S2223-G0827,HOU,0,0
S2223-G0827,HOU,3,1
S2223-G0827,SAC,28,1
S2223-G0827,HOU,25,1
S2223-G0827,SAC,4,1
S2223-G0827,SAC,3,1
S2223-G0827,HOU,10,1
S2223-G0827,SAC,3,1
S2223-G0827,SAC,26,1
S2223-G0827,HOU,8,0
S2223-G0827,HOU,1,1
S2223-G0827,SAC,0,0
S2223-G0827,SAC,4,0
S2223-G0827,HOU,24,0
S2223-G0827,SAC,28,0
S2223-G0827,HOU,3,1
S2223-G0827,SAC,4,1
S2223-G0827,HOU,24,1
S2223-G0827,SAC,26,1
S2223-G0827,SAC,3,1
S2223-G0827,HOU,3,0
S2223-G0827,HOU,0,0
S2223-G0827,HOU,0,1
S2223-G0827,SAC,24,0
S2223-G0827,HOU,3,1
